course_id,course_name,subject_url
AFST 101-7,College Seminar,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 101-8,First-Year Writing Seminar,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 276-0,African Literature in Translation,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 390-0,Topics in African Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 392-1,Herskovits Undergraduate Research Award,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 392-2,Herskovits Undergraduate Research Award,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 395-0,Senior Research Seminar,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 399-0,Independent Study,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 360-SA,"Culture, Language, and Identity in South Africa",https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AFST 390-SA,Topics in African Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/
AMER_ST 301-1,Seminar for Majors,https://catalogs.northwestern.edu/undergraduate/courses-az/amer_st/
AMER_ST 301-2,Seminar for Majors,https://catalogs.northwestern.edu/undergraduate/courses-az/amer_st/
AMER_ST 301-3,Seminar for Majors,https://catalogs.northwestern.edu/undergraduate/courses-az/amer_st/
AMER_ST 310-0,Studies in American Culture,https://catalogs.northwestern.edu/undergraduate/courses-az/amer_st/
AMER_ST 390-1,Senior Project,https://catalogs.northwestern.edu/undergraduate/courses-az/amer_st/
AMER_ST 390-2,Senior Project,https://catalogs.northwestern.edu/undergraduate/courses-az/amer_st/
AMER_ST 399-0,Independent Study,https://catalogs.northwestern.edu/undergraduate/courses-az/amer_st/
ANTHRO 101-7,College Seminar,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 101-8,First-Year Writing Seminar,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 211-0,Culture & Society,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 213-0,Human Origins,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 214-0,Archaeology: Unearthing History,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 215-0,The Study of Culture through Language,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 221-0,Social and Health Inequalities,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 232-0,Myth and Symbolism,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 235-0,Language in Asian America,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 238-0,Food in Culture & Society,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 240-0,Anthropology of Money,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 242-0,"Porous Borders? Geography, Power and Techniques of Movement",https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 255-0,Contemporary African Worlds,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 275-0,Introduction to Forensic Anthropology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 290-0,Topics in Anthropology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 306-0,Evolution of Life Histories,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 307-0,Anthropology of Peace,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 309-0,Human Osteology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 312-0,Human Population Biology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 313-0,Evolutionary Medicine,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 314-0,Human Growth & Development,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 315-0,Medical Anthropology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 317-0,Human Evolution,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 318-0,Material Worlds of the Middle Ages,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 319-0,"Material Life & Culture in Europe, 1500-1800",https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 320-0,Peoples of Africa,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 321-0,Archaeological Field Methods,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 322-0,Introduction to Archaeology Research Design & Methods,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 324-0,Archaeological Survey Methods,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 325-0,Archaeological Methods Laboratory,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 326-0,Archaeologies of Sustainability and Collapse,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 327-0,Historical Archaeology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 328-0,The Maya,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 329-0,Archaeology and Nationalism,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 330-0,Peoples of the World,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 332-0,The Anthropology of Reproduction,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 333-0,GIS for the Social Sciences,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 334-0,The Anthropology of HIV/AIDS: Ethnographies,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 339-0,Material Culture,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 340-0,Visual Anthropology of Africa,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 341-0,Economic Anthropology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 343-0,Anthropology of Race,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 345-0,Black Queer Diaspora,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 350-0,Anthropology of Religion,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 351-0,Hope and Futurity,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 353-0,Shady Business: Informal Economies in Contemporary Capitalism,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 354-0,Gender and Anthropology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 355-0,Sexualities,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 357-0,Biocultural Perspectives on Water Insecurity,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 358-0,Primate Behavior and Ecology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 359-0,The Human Microbiome and Health,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 360-0,Language and Culture,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
ANTHRO 361-0,Talk as Social Action,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/
